ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,75,CL,1562532532,87,-53.16,-70.91,6,2.6
1,Bluff,100,AU,1562532385,80,-23.58,149.07,16,5.44
2,Mahebourg,75,MU,1562532532,83,-20.41,57.7,22,2.68
3,Hermanus,36,ZA,1562532532,79,-34.42,19.24,14.44,1.34
4,Aranos,0,NA,1562532532,19,-24.14,19.11,10.95,3.8
5,Cidreira,24,BR,1562532533,84,-30.17,-50.22,7.57,1.33
6,Netivot,0,IL,1562532533,9,31.42,34.59,26.11,1.79
7,Yellowknife,75,CA,1562532262,58,62.45,-114.38,13,4.1
8,Hofn,100,IS,1562532533,94,64.25,-15.21,3.29,2.2
9,Sorong,89,ID,1562532533,96,-0.86,131.25,23.32,2.18
10,Mirabad,0,IR,1562532533,17,28.27,61.33,20.94,2.05
11,High Level,75,CA,1562532534,37,58.52,-117.13,20,4.6
12,Ushuaia,0,AR,1562532519,92,-54.81,-68.31,2,2.1
13,Upernavik,9,GL,1562532534,64,72.79,-56.15,7.17,4.59
14,Gizo,20,IL,1562532534,78,31.8,34.94,26.11,2.1
15,Cape Town,40,ZA,1562532316,87,-33.93,18.42,14.44,5.1
16,Bredasdorp,67,ZA,1562532534,76,-34.53,20.04,14.44,2.6
17,Serebryanyy Bor,90,RU,1562532535,77,56.8,124.8,16.02,2.5
18,Takoradi,65,GH,1562532535,92,4.89,-1.75,23.19,3.18
19,Souillac,0,FR,1562532535,73,45.6,-0.6,22.22,2.6
20,Albany,40,US,1562532278,30,42.65,-73.75,28.33,2.6
21,Torbay,20,CA,1562532316,60,47.66,-52.73,24,7.2
22,Jamestown,0,AU,1562532535,89,-33.21,138.6,6.63,1.17
23,Omaruru,0,NA,1562532536,26,-21.42,15.95,13.72,1.78
24,Mount Isa,75,AU,1562532536,77,-20.73,139.49,18,3.6
25,Finschhafen,81,PG,1562532536,80,-6.6,147.85,17.6,1.42
26,Kushima,75,JP,1562532536,88,31.5,131.29,24,3.1
27,Lethem,83,GY,1562532536,50,3.38,-59.8,32.18,2.24
28,Rikitea,100,PF,1562532537,78,-23.12,-134.97,22.4,16.4
29,Busselton,40,AU,1562532537,77,-33.64,115.35,11.11,6.74
30,Avarua,94,CK,1562532537,64,-21.21,-159.78,24,7.7
31,Hobart,0,AU,1562532477,86,-42.88,147.33,5,6.7
32,New Norfolk,0,AU,1562532538,86,-42.78,147.06,5,6.7
33,Norwich,0,GB,1562532404,76,52.63,1.29,16,1.5
34,Verkhoyansk,87,RU,1562532538,49,67.55,133.39,18.26,1.88
35,Castro,90,CL,1562532538,100,-42.48,-73.76,10,6.7
36,Pevek,99,RU,1562532538,73,69.7,170.27,7.2,8.83
37,Halifax,20,CA,1562532302,41,44.65,-63.58,25.56,6.2
38,Barrow,100,AR,1562532539,68,-38.31,-60.23,9.68,4.82
39,Cherskiy,81,RU,1562532539,46,68.75,161.3,19.65,6.47
40,Melfort,90,CA,1562532539,83,52.87,-104.61,21,5.7
41,Seoul,75,KR,1562532513,60,37.57,126.98,22,0.5
42,Chuy,67,UY,1562532539,65,-33.69,-53.46,7.6,2.06
43,Kaitangata,100,NZ,1562532540,62,-46.28,169.85,5.56,3.58
44,Kapaa,1,US,1562532540,66,22.08,-159.32,29,6.7
45,East London,7,ZA,1562532540,74,-33.02,27.91,10.12,3.85
46,San Patricio,13,PY,1562532540,71,-26.98,-56.83,8.58,1.2
47,Port Elizabeth,75,US,1562532541,74,39.31,-74.98,31.11,6.2
48,Muswellbrook,100,AU,1562532541,98,-32.27,150.89,11.11,1.19
49,Luanda,0,AO,1562532405,87,-8.83,13.24,22.62,4.09
50,Qaanaaq,96,GL,1562532551,57,77.48,-69.36,7.07,1.33
51,Georgetown,40,GY,1562532551,70,6.8,-58.16,31,6.2
52,Caravelas,85,BR,1562532551,74,-17.73,-39.27,21.74,9
53,Thompson,75,CA,1562532552,31,55.74,-97.86,25,3.1
54,Butaritari,100,KI,1562532552,84,3.07,172.79,26.91,5.66
55,Atar,17,MR,1562532552,15,20.52,-13.05,37.56,3.45
56,San Francisco del Mar,0,MX,1562532552,43,16.34,-94.51,34.59,8.95
57,Kruisfontein,64,ZA,1562532552,88,-34,24.73,9.89,4.13
58,Shambu,23,ET,1562532553,94,9.57,37.1,12.89,0.46
59,Grand Gaube,75,MU,1562532553,83,-20.01,57.66,22,4.45
60,Banda Aceh,97,ID,1562532441,68,5.56,95.32,29.07,3.77
61,Fortuna,1,US,1562532554,68,40.6,-124.16,27.22,6.7
